"crate","version","license"
"lazy_static","1.5.0","MIT OR Apache-2.0"
"leb128fmt","0.1.0","MIT OR Apache-2.0"
"libc","0.2.186","MIT OR Apache-2.0"
"libredox","0.1.17","MIT"
"libsqlite3-sys","0.33.0","MIT"
"linux-raw-sys","0.12.1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"litemap","0.8.2","Unicode-3.0"
"lock_api","0.4.14","MIT OR Apache-2.0"
"log","0.4.32","MIT OR Apache-2.0"
"lru-slab","0.1.2","MIT OR Apache-2.0 OR Zlib"
"matchers","0.2.0","MIT"
"matchit","0.8.4","MIT AND BSD-3-Clause"
"memchr","2.8.2","Unlicense OR MIT"
"mime","0.3.17","MIT OR Apache-2.0"
"mime_guess","2.0.5","MIT"
"miniz_oxide","0.8.9","MIT OR Zlib OR Apache-2.0"
"mio","1.2.1","MIT"
"ntapi","0.4.3","Apache-2.0 OR MIT"
"nu-ansi-term","0.50.3","MIT"
"num-traits","0.2.19","MIT OR Apache-2.0"
"objc2-core-foundation","0.3.2","Zlib OR Apache-2.0 OR MIT"
"objc2-io-kit","0.3.2","Zlib OR Apache-2.0 OR MIT"
"once_cell","1.21.4","MIT OR Apache-2.0"
"option-ext","0.2.0","MPL-2.0"
"parking_lot","0.12.5","MIT OR Apache-2.0"
"parking_lot_core","0.9.12","MIT OR Apache-2.0"
"percent-encoding","2.3.2","MIT OR Apache-2.0"
"pin-project-lite","0.2.17","Apache-2.0 OR MIT"
"pkg-config","0.3.33","MIT OR Apache-2.0"
"potential_utf","0.1.5","Unicode-3.0"
"ppv-lite86","0.2.21","MIT OR Apache-2.0"
"prettyplease","0.2.37","MIT OR Apache-2.0"
"proc-macro2","1.0.106","MIT OR Apache-2.0"
"quinn","0.11.9","MIT OR Apache-2.0"
"quinn-proto","0.11.15","MIT OR Apache-2.0"
"quinn-udp","0.5.14","MIT OR Apache-2.0"
"quote","1.0.45","MIT OR Apache-2.0"
"r-efi","5.3.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later"
"r-efi","6.0.0","MIT OR Apache-2.0 OR LGPL-2.1-or-later"
"rand","0.9.4","MIT OR Apache-2.0"
"rand_chacha","0.9.0","MIT OR Apache-2.0"
"rand_core","0.9.5","MIT OR Apache-2.0"
"rayon","1.12.0","MIT OR Apache-2.0"
"rayon-core","1.13.0","MIT OR Apache-2.0"
"redox_syscall","0.5.18","MIT"
"redox_users","0.5.2","MIT"
"regex-automata","0.4.14","MIT OR Apache-2.0"
"regex-syntax","0.8.11","MIT OR Apache-2.0"
"reqwest","0.12.28","MIT OR Apache-2.0"
"ring","0.17.14","Apache-2.0 AND ISC"
"rpassword","7.5.4","Apache-2.0"
"rtoolbox","0.0.5","Apache-2.0"
"rusqlite","0.35.0","MIT"
"rustc-hash","2.1.2","Apache-2.0 OR MIT"
"rustix","1.1.4","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"rustls","0.23.40","Apache-2.0 OR ISC OR MIT"
"rustls-pki-types","1.14.1","MIT OR Apache-2.0"
"rustls-webpki","0.103.13","ISC"
"rustversion","1.0.22","MIT OR Apache-2.0"
"ryu","1.0.23","Apache-2.0 OR BSL-1.0"
"scopeguard","1.2.0","MIT OR Apache-2.0"
"semver","1.0.28","MIT OR Apache-2.0"
"serde","1.0.228","MIT OR Apache-2.0"
"serde_core","1.0.228","MIT OR Apache-2.0"
"serde_derive","1.0.228","MIT OR Apache-2.0"
"serde_json","1.0.150","MIT OR Apache-2.0"
"serde_path_to_error","0.1.20","MIT OR Apache-2.0"
"serde_spanned","0.6.9","MIT OR Apache-2.0"
"serde_urlencoded","0.7.1","MIT/Apache-2.0"
"sha1","0.10.6","MIT OR Apache-2.0"
"sha2","0.10.9","MIT OR Apache-2.0"
"sharded-slab","0.1.7","MIT"
"shlex","2.0.1","MIT OR Apache-2.0"
"signal-hook-registry","1.4.8","MIT OR Apache-2.0"
"simd-adler32","0.3.9","MIT"
"slab","0.4.12","MIT"
"smallvec","1.15.2","MIT OR Apache-2.0"
"socket2","0.6.4","MIT OR Apache-2.0"
"stable_deref_trait","1.2.1","MIT OR Apache-2.0"
"subtle","2.6.1","BSD-3-Clause"
"syn","2.0.117","MIT OR Apache-2.0"
"sync_wrapper","1.0.2","Apache-2.0"
"synstructure","0.13.2","MIT"
"sysinfo","0.35.2","MIT"
"tar","0.4.46","MIT OR Apache-2.0"
"tempfile","3.27.0","MIT OR Apache-2.0"
"thiserror","2.0.18","MIT OR Apache-2.0"
"thiserror-impl","2.0.18","MIT OR Apache-2.0"
"thread_local","1.1.9","MIT OR Apache-2.0"
"tinystr","0.8.3","Unicode-3.0"
"tinyvec","1.11.0","Zlib OR Apache-2.0 OR MIT"
"tinyvec_macros","0.1.1","MIT OR Apache-2.0 OR Zlib"
"tokio","1.52.3","MIT"
"tokio-macros","2.7.0","MIT"
"tokio-rustls","0.26.4","MIT OR Apache-2.0"
"tokio-stream","0.1.18","MIT"
"tokio-tungstenite","0.26.2","MIT"
"tokio-tungstenite","0.29.0","MIT"
"tokio-util","0.7.18","MIT"
"toml","0.8.23","MIT OR Apache-2.0"
"toml_datetime","0.6.11","MIT OR Apache-2.0"
"toml_edit","0.22.27","MIT OR Apache-2.0"
"toml_write","0.1.2","MIT OR Apache-2.0"
"tower","0.5.3","MIT"
"tower-http","0.6.11","MIT"
"tower-layer","0.3.3","MIT"
"tower-service","0.3.3","MIT"
"tracing","0.1.44","MIT"
"tracing-attributes","0.1.31","MIT"
"tracing-core","0.1.36","MIT"
"tracing-log","0.2.0","MIT"
"tracing-subscriber","0.3.23","MIT"
"try-lock","0.2.5","MIT"
"tungstenite","0.26.2","MIT OR Apache-2.0"
"tungstenite","0.29.0","MIT OR Apache-2.0"
"typenum","1.20.1","MIT OR Apache-2.0"
"unicase","2.9.0","MIT OR Apache-2.0"
"unicode-ident","1.0.24","(MIT OR Apache-2.0) AND Unicode-3.0"
"unicode-xid","0.2.6","MIT OR Apache-2.0"
"untrusted","0.9.0","ISC"
"url","2.5.8","MIT OR Apache-2.0"
"utf-8","0.7.6","MIT OR Apache-2.0"
"utf8_iter","1.0.4","Apache-2.0 OR MIT"
"uuid","1.23.3","Apache-2.0 OR MIT"
"valuable","0.1.1","MIT"
"vcpkg","0.2.15","MIT/Apache-2.0"
"version_check","0.9.5","MIT/Apache-2.0"
"want","0.3.1","MIT"
"wasi","0.11.1+wasi-snapshot-preview1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasip2","1.0.4+wasi-0.2.12","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasip3","0.4.0+wasi-0.3.0-rc-2026-01-06","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasm-bindgen","0.2.125","MIT OR Apache-2.0"
"wasm-bindgen-futures","0.4.75","MIT OR Apache-2.0"
"wasm-bindgen-macro","0.2.125","MIT OR Apache-2.0"
"wasm-bindgen-macro-support","0.2.125","MIT OR Apache-2.0"
"wasm-bindgen-shared","0.2.125","MIT OR Apache-2.0"
"wasm-encoder","0.244.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasm-metadata","0.244.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wasmparser","0.244.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"web-sys","0.3.102","MIT OR Apache-2.0"
"web-time","1.1.0","MIT OR Apache-2.0"
"webpki-roots","0.26.11","CDLA-Permissive-2.0"
"webpki-roots","1.0.7","CDLA-Permissive-2.0"
"winapi","0.3.9","MIT/Apache-2.0"
"winapi-i686-pc-windows-gnu","0.4.0","MIT/Apache-2.0"
"winapi-x86_64-pc-windows-gnu","0.4.0","MIT/Apache-2.0"
"windows","0.61.3","MIT OR Apache-2.0"
"windows-collections","0.2.0","MIT OR Apache-2.0"
"windows-core","0.61.2","MIT OR Apache-2.0"
"windows-core","0.62.2","MIT OR Apache-2.0"
"windows-future","0.2.1","MIT OR Apache-2.0"
"windows-implement","0.60.2","MIT OR Apache-2.0"
"windows-interface","0.59.3","MIT OR Apache-2.0"
"windows-link","0.1.3","MIT OR Apache-2.0"
"windows-link","0.2.1","MIT OR Apache-2.0"
"windows-numerics","0.2.0","MIT OR Apache-2.0"
"windows-result","0.3.4","MIT OR Apache-2.0"
"windows-result","0.4.1","MIT OR Apache-2.0"
"windows-strings","0.4.2","MIT OR Apache-2.0"
"windows-strings","0.5.1","MIT OR Apache-2.0"
"windows-sys","0.52.0","MIT OR Apache-2.0"
"windows-sys","0.59.0","MIT OR Apache-2.0"
"windows-sys","0.60.2","MIT OR Apache-2.0"
"windows-sys","0.61.2","MIT OR Apache-2.0"
"windows-targets","0.52.6","MIT OR Apache-2.0"
"windows-targets","0.53.5","MIT OR Apache-2.0"
"windows-threading","0.1.0","MIT OR Apache-2.0"
"windows_aarch64_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_aarch64_gnullvm","0.53.1","MIT OR Apache-2.0"
"windows_aarch64_msvc","0.52.6","MIT OR Apache-2.0"
"windows_aarch64_msvc","0.53.1","MIT OR Apache-2.0"
"windows_i686_gnu","0.52.6","MIT OR Apache-2.0"
"windows_i686_gnu","0.53.1","MIT OR Apache-2.0"
"windows_i686_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_i686_gnullvm","0.53.1","MIT OR Apache-2.0"
"windows_i686_msvc","0.52.6","MIT OR Apache-2.0"
"windows_i686_msvc","0.53.1","MIT OR Apache-2.0"
"windows_x86_64_gnu","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_gnu","0.53.1","MIT OR Apache-2.0"
"windows_x86_64_gnullvm","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_gnullvm","0.53.1","MIT OR Apache-2.0"
"windows_x86_64_msvc","0.52.6","MIT OR Apache-2.0"
"windows_x86_64_msvc","0.53.1","MIT OR Apache-2.0"
"winnow","0.7.15","MIT"
"wit-bindgen","0.51.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wit-bindgen","0.57.1","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wit-bindgen-core","0.51.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wit-bindgen-rust","0.51.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wit-bindgen-rust-macro","0.51.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wit-component","0.244.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"wit-parser","0.244.0","Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT"
"writeable","0.6.3","Unicode-3.0"
"xattr","1.6.1","MIT OR Apache-2.0"
"yoke","0.8.3","Unicode-3.0"
"yoke-derive","0.8.2","Unicode-3.0"
"zerocopy","0.8.52","BSD-2-Clause OR Apache-2.0 OR MIT"
"zerocopy-derive","0.8.52","BSD-2-Clause OR Apache-2.0 OR MIT"
"zerofrom","0.1.8","Unicode-3.0"
"zerofrom-derive","0.1.7","Unicode-3.0"
"zeroize","1.9.0","Apache-2.0 OR MIT"
"zerotrie","0.2.4","Unicode-3.0"
"zerovec","0.11.6","Unicode-3.0"
"zerovec-derive","0.11.3","Unicode-3.0"
"zmij","1.0.21","MIT"
